DOMAIN,provider_name,provider_short_desc,provider_long_desc,provider_Logo_image_url,provider_id,provider_uri,Address,City,State,Country,zip,gps
deg:ev,MotorCity Charge,Leading EV charging network,"MotorCity Charge provides efficient and fast EV charging solutions in Detroit, Michigan.",https://motorcity-charge.com/logo.png,motorcity-charge,https://motorcity-charge.com,448 Main Street,Detroit, Michigan,USA,50189,"41.299211,-75.718899"
deg:ev,GreatLakes EV,Leading EV charging network,"GreatLakes EV provides efficient and fast EV charging solutions in Detroit, Michigan.",https://greatlakes-ev.com/logo.png,greatlakes-ev,https://greatlakes-ev.com,792 Main Street,Detroit, Michigan,USA,30123,"41.988354,-80.501723"
deg:ev,Detroit Power EV,Leading EV charging network,"Detroit Power EV provides efficient and fast EV charging solutions in Detroit, Michigan.",https://detroit-power-ev.com/logo.png,detroit-power-ev,https://detroit-power-ev.com,581 Main Street,Detroit, Michigan,USA,41399,"39.569965,-76.929978"
deg:ev,CampusCharge,Leading EV charging network,CampusCharge provides efficient and fast EV charging solutions in Stanford University.,https://campuscharge.com/logo.png,campuscharge,https://campuscharge.com,871 Main Street,Stanford University,Stanford University,USA,60396,"40.834477,-79.351100"
deg:ev,Stanford Green EV,Leading EV charging network,Stanford Green EV provides efficient and fast EV charging solutions in Stanford University.,https://stanford-green-ev.com/logo.png,stanford-green-ev,https://stanford-green-ev.com,407 Main Street,Stanford University,Stanford University,USA,90030,"39.320426,-76.373314"
deg:ev,UniCharge Stanford,Leading EV charging network,UniCharge Stanford provides efficient and fast EV charging solutions in Stanford University.,https://unicharge-stanford.com/logo.png,unicharge-stanford,https://unicharge-stanford.com,778 Main Street,Stanford University,Stanford University,USA,11237,"37.546187,-78.825408"
deg:ev,Capital Volt,Leading EV charging network,Capital Volt provides efficient and fast EV charging solutions in Washington DC.,https://capital-volt.com/logo.png,capital-volt,https://capital-volt.com,176 Main Street,Washington DC,Washington DC,USA,28725,"38.135092,-75.256276"
deg:ev,Monument EV,Leading EV charging network,Monument EV provides efficient and fast EV charging solutions in Washington DC.,https://monument-ev.com/logo.png,monument-ev,https://monument-ev.com,597 Main Street,Washington DC,Washington DC,USA,33287,"41.303870,-77.898924"
deg:ev,DC Charge Hub,Leading EV charging network,DC Charge Hub provides efficient and fast EV charging solutions in Washington DC.,https://dc-charge-hub.com/logo.png,dc-charge-hub,https://dc-charge-hub.com,458 Main Street,Washington DC,Washington DC,USA,70662,"38.198573,-82.448435"
deg:ev,LibraryCharge,Leading EV charging network,LibraryCharge provides efficient and fast EV charging solutions in New York Public Library.,https://librarycharge.com/logo.png,librarycharge,https://librarycharge.com,872 Main Street,New York Public Library,New York Public Library,USA,43070,"40.770316,-78.175541"
deg:ev,NYC EV Connect,Leading EV charging network,NYC EV Connect provides efficient and fast EV charging solutions in New York Public Library.,https://nyc-ev-connect.com/logo.png,nyc-ev-connect,https://nyc-ev-connect.com,153 Main Street,New York Public Library,New York Public Library,USA,78110,"37.912974,-81.778942"
deg:ev,BigApple Charge,Leading EV charging network,BigApple Charge provides efficient and fast EV charging solutions in New York Public Library.,https://bigapple-charge.com/logo.png,bigapple-charge,https://bigapple-charge.com,612 Main Street,New York Public Library,New York Public Library,USA,52507,"37.118116,-75.616843"
